vectorizer,scaler,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,10,2,sqrt,,0.3899,0.0057,11,0.7796,0.0063,0.7836,0.7736,0.7891,0.7796,0.7723,10.1745,0.1843,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,10,2,sqrt,,0.3809,0.0207,12,0.7794,0.0091,0.7801,0.7756,0.7966,0.7713,0.7735,5.1367,0.2143,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,5,2,sqrt,,0.3665,0.0139,13,0.7787,0.0058,0.7798,0.7737,0.788,0.7716,0.7806,5.242,0.0712,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,5,5,sqrt,,0.4911,0.0432,14,0.7786,0.0075,0.7776,0.7687,0.7912,0.7745,0.781,8.2538,0.0644,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,10,5,sqrt,,0.529,0.0128,14,0.7786,0.0075,0.7776,0.7687,0.7912,0.7745,0.781,10.091,0.0822,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,5,2,sqrt,,0.408,0.0281,16,0.7785,0.0083,0.7758,0.7745,0.795,0.7733,0.774,6.5777,0.6502,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,5,2,sqrt,balanced,0.7013,0.0705,17,0.7785,0.0091,0.7843,0.7673,0.7908,0.7688,0.7813,15.7643,0.348,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,5,2,sqrt,,0.3863,0.0229,18,0.7785,0.0064,0.7778,0.7733,0.7903,0.7723,0.7787,5.869,0.0915,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,5,2,sqrt,balanced,0.6024,0.033,19,0.7778,0.0086,0.788,0.7688,0.7858,0.7671,0.779,15.9541,0.5661,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,10,2,sqrt,balanced,0.526,0.0281,20,0.7777,0.0111,0.7869,0.7694,0.7922,0.762,0.7782,7.4471,0.2204,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,5,5,sqrt,,0.3956,0.007,21,0.7776,0.0059,0.7798,0.7711,0.7876,0.7727,0.777,7.8837,0.0294,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,10,5,sqrt,,0.441,0.0495,21,0.7776,0.0059,0.7798,0.7711,0.7876,0.7727,0.777,9.4906,0.0504,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,10,2,sqrt,,0.3547,0.0086,23,0.7775,0.0075,0.7745,0.7767,0.7909,0.768,0.7773,5.6939,0.0891,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,10,2,sqrt,balanced,0.9309,0.1325,24,0.777,0.0084,0.7881,0.7649,0.7825,0.7704,0.779,16.9381,0.2484,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,5,2,sqrt,balanced,0.792,0.1026,25,0.7767,0.0087,0.7855,0.7651,0.7871,0.7693,0.7764,17.9515,0.1901,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,10,2,sqrt,balanced,0.68,0.0549,26,0.7765,0.0051,0.7821,0.7721,0.7813,0.7691,0.7781,19.3199,0.4482,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,5,2,sqrt,,0.4051,0.0412,27,0.7765,0.0091,0.7719,0.7708,0.7947,0.7724,0.7728,6.8962,0.1117,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,5,5,sqrt,,0.3945,0.075,28,0.7765,0.0078,0.7746,0.7723,0.7918,0.7731,0.7705,4.8744,0.1063,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,10,5,sqrt,,0.52,0.0998,28,0.7765,0.0078,0.7746,0.7723,0.7918,0.7731,0.7705,5.1019,0.4312,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,10,2,sqrt,balanced,0.563,0.0575,30,0.7763,0.0072,0.7818,0.7663,0.7866,0.7712,0.7756,13.1907,0.1527,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,5,5,sqrt,,0.3147,0.0075,31,0.7761,0.0096,0.7737,0.7687,0.7944,0.7683,0.7753,3.9663,0.232,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,10,5,sqrt,,0.3657,0.0325,31,0.7761,0.0096,0.7737,0.7687,0.7944,0.7683,0.7753,5.474,0.0817,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,10,2,sqrt,,0.3662,0.0221,33,0.776,0.01,0.7776,0.7703,0.7948,0.7696,0.7677,6.0117,0.0717,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,5,2,sqrt,balanced,0.955,0.1052,34,0.7759,0.0071,0.7851,0.7689,0.7822,0.767,0.7762,21.4916,0.3001,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,10,2,sqrt,balanced,0.6068,0.0373,35,0.7759,0.0091,0.7862,0.7646,0.7852,0.7661,0.7774,12.1576,0.1381,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,10,5,sqrt,,0.907,0.2397,36,0.7757,0.0054,0.7804,0.7682,0.7826,0.7766,0.771,13.661,0.2102,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,5,5,sqrt,,0.6475,0.2212,36,0.7757,0.0054,0.7804,0.7682,0.7826,0.7766,0.771,11.2703,0.4338,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,5,2,sqrt,balanced,0.6299,0.0445,38,0.7747,0.01,0.7815,0.7666,0.79,0.7626,0.7727,12.2563,0.3207,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,5,2,sqrt,balanced,0.6049,0.1106,39,0.7744,0.0082,0.7758,0.7671,0.7884,0.7653,0.7753,8.3522,0.3427,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,10,2,sqrt,balanced,0.4926,0.1084,40,0.7739,0.0102,0.7835,0.7641,0.7888,0.7661,0.7672,8.3221,0.2659,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,5,2,sqrt,balanced,0.7964,0.1373,41,0.7734,0.0108,0.7843,0.7647,0.7869,0.759,0.7721,10.8119,0.6806,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,10,2,sqrt,balanced,0.7446,0.0936,42,0.7734,0.0062,0.7772,0.7703,0.7836,0.7681,0.7677,11.642,0.2487,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,5,2,sqrt,balanced,0.7709,0.0777,43,0.7732,0.0062,0.7796,0.7718,0.7812,0.7653,0.7682,10.6283,0.162,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,5,5,sqrt,,0.342,0.0223,44,0.7731,0.0078,0.776,0.7684,0.7863,0.7632,0.7715,4.2227,0.0474,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,10,5,sqrt,,0.3349,0.0057,44,0.7731,0.0078,0.776,0.7684,0.7863,0.7632,0.7715,4.1808,0.3507,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,10,2,sqrt,balanced,0.7797,0.0651,46,0.7729,0.0095,0.7764,0.7708,0.7883,0.7589,0.7701,9.9382,0.2318,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,10,5,sqrt,,0.4954,0.1394,47,0.7723,0.0071,0.7764,0.7741,0.782,0.7674,0.7616,6.4543,0.1982,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,5,5,sqrt,,0.3471,0.0229,47,0.7723,0.0071,0.7764,0.7741,0.782,0.7674,0.7616,4.6304,0.1112,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,5,5,sqrt,balanced,0.4939,0.0227,49,0.7703,0.007,0.7763,0.7627,0.7774,0.7609,0.7741,11.3509,0.2844,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,20,10,5,sqrt,balanced,0.3385,0.0738,49,0.7703,0.007,0.7763,0.7627,0.7774,0.7609,0.7741,9.0052,0.1856,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,10,5,sqrt,balanced,0.4034,0.0205,51,0.7702,0.0082,0.7801,0.7567,0.776,0.7659,0.7725,7.8942,0.044,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,20,5,5,sqrt,balanced,0.5418,0.0262,51,0.7702,0.0082,0.7801,0.7567,0.776,0.7659,0.7725,9.8624,0.1068,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,10,5,sqrt,balanced,0.3963,0.0511,53,0.7702,0.0075,0.7757,0.7644,0.7802,0.7594,0.7711,5.5574,0.0958,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,20,5,5,sqrt,balanced,0.4973,0.0743,53,0.7702,0.0075,0.7757,0.7644,0.7802,0.7594,0.7711,7.9052,0.2347,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,5,5,sqrt,balanced,0.6626,0.0801,55,0.7701,0.008,0.7796,0.76,0.7788,0.7632,0.7689,12.0373,0.0804,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,20,10,5,sqrt,balanced,0.5773,0.0202,55,0.7701,0.008,0.7796,0.76,0.7788,0.7632,0.7689,12.7354,0.1436,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
