vectorizer,scaler,penalty,C,solver,max_iter,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),RobustScaler(),l2,1.0,saga,3000,balanced,0.2799,0.0482,28,0.8377,0.0041,0.8387,0.8342,0.8446,0.8328,0.8384,50.3937,3.7519,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,10.0,liblinear,3000,balanced,0.2311,0.004,29,0.8376,0.0054,0.8351,0.8377,0.8478,0.8335,0.8337,1.6596,0.0813,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,10.0,liblinear,3000,balanced,0.2326,0.0071,30,0.8375,0.0054,0.8353,0.8373,0.8478,0.8329,0.8339,1.6477,0.1205,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,1.0,liblinear,3000,balanced,0.2574,0.015,31,0.8371,0.004,0.8372,0.8334,0.8434,0.8324,0.8389,1.9622,0.0781,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,1.0,liblinear,3000,balanced,0.2482,0.0487,32,0.8367,0.0039,0.8375,0.8331,0.8426,0.8318,0.8387,2.0571,0.175,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,10.0,saga,3000,,0.2514,0.018,33,0.8332,0.0033,0.8312,0.8323,0.8396,0.8304,0.8326,122.1085,1.0539,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,10.0,saga,3000,,0.2328,0.0071,34,0.8308,0.0038,0.8305,0.8279,0.8382,0.8282,0.8292,123.3756,0.3803,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,10.0,saga,3000,balanced,0.1482,0.0239,35,0.8302,0.0049,0.83,0.8232,0.8385,0.8292,0.83,92.7742,7.5842,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,10.0,saga,3000,balanced,0.2458,0.018,36,0.828,0.0043,0.8284,0.8231,0.836,0.8259,0.8267,115.7359,0.404,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,10.0,liblinear,3000,,0.2281,0.0117,37,0.8269,0.0044,0.8295,0.8214,0.8331,0.8284,0.8223,5.2542,0.8837,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,10.0,liblinear,3000,,0.2889,0.0298,38,0.8269,0.0045,0.8295,0.8214,0.8334,0.8278,0.8222,5.9395,0.9078,"{'model__C': 10, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),l2,10.0,liblinear,3000,balanced,0.242,0.0112,39,0.8241,0.0053,0.8224,0.8188,0.8342,0.8215,0.8234,4.0304,0.7065,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),l2,10.0,liblinear,3000,balanced,0.2251,0.002,40,0.824,0.0053,0.8228,0.8186,0.8342,0.8215,0.8229,5.1805,0.7129,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,0.1,saga,3000,,0.2505,0.0117,41,0.8203,0.0082,0.8152,0.8116,0.8329,0.8146,0.827,15.408,1.0342,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,0.1,saga,3000,,0.2993,0.0674,42,0.8198,0.0085,0.8144,0.8106,0.8326,0.8145,0.827,10.3791,0.2673,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,0.1,liblinear,3000,,0.2524,0.0113,43,0.8194,0.0087,0.8141,0.8097,0.8325,0.8138,0.8266,2.2769,0.0465,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,0.1,liblinear,3000,,0.45,0.098,44,0.8193,0.0087,0.8141,0.8096,0.8325,0.8138,0.8263,2.0375,0.1036,"{'model__C': 0.1, 'model__class_weight': None, 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,0.1,saga,3000,balanced,0.2516,0.0168,45,0.8065,0.006,0.801,0.8057,0.8161,0.7997,0.81,5.7262,0.2626,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,0.1,saga,3000,balanced,0.2681,0.0261,46,0.8064,0.0061,0.8006,0.8063,0.816,0.7995,0.8098,11.4391,0.5812,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'saga', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),l2,0.1,liblinear,3000,balanced,0.2671,0.0028,47,0.8064,0.006,0.8013,0.8053,0.8161,0.7994,0.8097,1.5124,0.0343,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),l2,0.1,liblinear,3000,balanced,0.3375,0.0642,48,0.8063,0.006,0.8013,0.8053,0.8159,0.7994,0.8097,2.0805,0.258,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__max_iter': 3000, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
