vectorizer,scaler,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,gini,20,10,5,,,0.2257,0.0076,11,0.735,0.0034,0.7307,0.7348,0.7327,0.7364,0.7406,4.187,0.0667,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,5,5,,,0.248,0.0425,11,0.735,0.0034,0.7307,0.7348,0.7327,0.7364,0.7406,4.0606,0.0997,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,10,2,,,0.2267,0.0075,13,0.7338,0.0092,0.7193,0.7439,0.7289,0.7341,0.743,2.9074,0.0368,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,10,5,,,0.2005,0.0027,14,0.7336,0.0085,0.7229,0.7413,0.7277,0.7306,0.7456,2.4746,0.0357,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,5,5,,,0.1974,0.0055,14,0.7336,0.0085,0.7229,0.7413,0.7277,0.7306,0.7456,2.9474,0.1842,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,10,2,,,0.2827,0.0413,16,0.7325,0.0095,0.7199,0.7275,0.7427,0.7278,0.7444,4.8191,0.1248,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,10,2,,,0.2406,0.0115,17,0.7323,0.0097,0.715,0.73,0.7344,0.7409,0.7414,3.7012,0.0466,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,10,5,,,0.2305,0.0056,18,0.732,0.0127,0.7095,0.7378,0.7451,0.7273,0.7403,3.7607,0.0393,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,5,5,,,0.2484,0.0162,18,0.732,0.0127,0.7095,0.7378,0.7451,0.7273,0.7403,3.8218,0.0303,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,5,5,,,0.2334,0.0078,20,0.7319,0.0078,0.7188,0.7386,0.7292,0.7319,0.7408,2.9853,0.0787,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,10,5,,,0.2377,0.0041,20,0.7319,0.0078,0.7188,0.7386,0.7292,0.7319,0.7408,2.8981,0.0621,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,5,2,,,0.2419,0.0065,22,0.7317,0.007,0.719,0.7364,0.7302,0.7339,0.7392,3.0038,0.0195,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,5,2,,,0.2443,0.0097,23,0.7316,0.0092,0.7231,0.7273,0.7404,0.7226,0.7447,4.7947,0.0956,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,5,2,,balanced,0.2315,0.0059,24,0.7315,0.01,0.7206,0.7299,0.7233,0.7351,0.7487,3.4856,0.0893,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,5,5,,,0.2555,0.0098,25,0.7308,0.0075,0.7191,0.7355,0.732,0.7266,0.7408,4.8177,0.0784,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,10,5,,,0.2565,0.0169,25,0.7308,0.0075,0.7191,0.7355,0.732,0.7266,0.7408,4.9072,0.0653,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,10,2,,balanced,0.2261,0.005,27,0.7303,0.0094,0.7178,0.7293,0.7241,0.7351,0.7453,3.4131,0.0764,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,10,5,,,0.2608,0.033,28,0.7303,0.0078,0.718,0.7256,0.732,0.7358,0.7401,3.9052,0.0736,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,5,5,,,0.2537,0.0217,28,0.7303,0.0078,0.718,0.7256,0.732,0.7358,0.7401,3.7899,0.0663,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,5,2,,,0.2387,0.008,30,0.7303,0.0109,0.7126,0.7367,0.7432,0.7232,0.7356,3.9244,0.0652,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,10,2,,balanced,0.2557,0.0126,31,0.73,0.0086,0.7151,0.7373,0.7337,0.7257,0.7382,4.4912,0.1262,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,5,2,,balanced,0.2405,0.0088,32,0.73,0.0091,0.7139,0.7353,0.7335,0.727,0.7401,4.4895,0.1026,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,10,2,,,0.2463,0.0138,33,0.7296,0.0118,0.7079,0.7352,0.7414,0.7271,0.7364,3.9315,0.1014,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,5,5,,,0.2133,0.0115,34,0.7287,0.0049,0.7271,0.7286,0.7272,0.7229,0.7377,3.1967,0.0351,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,10,5,,,0.2097,0.0076,34,0.7287,0.0049,0.7271,0.7286,0.7272,0.7229,0.7377,3.2601,0.0421,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,5,2,,,0.2281,0.0102,36,0.7283,0.0109,0.7107,0.7205,0.7385,0.7351,0.7368,3.7394,0.0431,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,5,2,,balanced,0.2494,0.0105,37,0.7282,0.0068,0.7171,0.7296,0.7297,0.7263,0.7381,3.9413,0.0462,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,10,5,,,0.1925,0.0097,38,0.7278,0.0053,0.7328,0.7306,0.7176,0.7296,0.7286,1.6565,0.0152,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,5,5,,,0.1974,0.009,38,0.7278,0.0053,0.7328,0.7306,0.7176,0.7296,0.7286,1.629,0.0209,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,5,2,,,0.2119,0.0095,40,0.7278,0.0056,0.7331,0.7319,0.7174,0.7295,0.7269,1.9629,0.027,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,10,2,,,0.1815,0.0051,41,0.7275,0.0057,0.7316,0.7321,0.7167,0.7295,0.7274,1.908,0.0154,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,10,2,,balanced,0.2486,0.011,42,0.7271,0.0083,0.7183,0.7237,0.7245,0.7261,0.7428,2.8758,0.0302,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,5,2,,balanced,0.2522,0.0044,43,0.727,0.0083,0.7189,0.724,0.725,0.7243,0.743,3.0042,0.0722,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,10,2,,balanced,0.2614,0.0167,44,0.726,0.0063,0.7164,0.7307,0.7263,0.7221,0.7344,3.7808,0.0486,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,5,5,,,0.2186,0.0127,45,0.7251,0.0046,0.721,0.7322,0.7256,0.7193,0.7275,1.4349,0.034,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,10,5,,,0.2508,0.0267,45,0.7251,0.0046,0.721,0.7322,0.7256,0.7193,0.7275,1.5253,0.0534,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,5,2,,,0.2254,0.011,47,0.7251,0.0048,0.7204,0.732,0.7262,0.7191,0.7277,1.4577,0.0238,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,10,2,,,0.2267,0.007,48,0.7249,0.005,0.7204,0.732,0.7262,0.7183,0.7277,1.4936,0.019,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,10,2,,,0.255,0.0186,49,0.7246,0.0047,0.7241,0.7326,0.7182,0.7228,0.725,1.3512,0.0438,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,10,5,,,0.2044,0.0041,50,0.7243,0.0051,0.7262,0.7323,0.717,0.7213,0.7249,1.2012,0.0193,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,5,5,,,0.1797,0.0055,50,0.7243,0.0051,0.7262,0.7323,0.717,0.7213,0.7249,1.4013,0.0788,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,5,2,,,0.1692,0.002,52,0.7242,0.0048,0.7241,0.7328,0.7182,0.7216,0.7243,1.4998,0.0028,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,10,5,,balanced,0.2304,0.0063,53,0.7216,0.008,0.7123,0.7269,0.7179,0.7165,0.7346,3.5092,0.0346,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,15,5,5,,balanced,0.2399,0.014,53,0.7216,0.008,0.7123,0.7269,0.7179,0.7165,0.7346,3.6042,0.0428,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,5,5,,balanced,0.2379,0.0102,55,0.7214,0.0063,0.715,0.7228,0.7172,0.7193,0.7328,2.9385,0.0443,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,15,10,5,,balanced,0.2219,0.0065,55,0.7214,0.0063,0.715,0.7228,0.7172,0.7193,0.7328,2.7902,0.0442,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,5,5,,balanced,0.2656,0.0116,57,0.7214,0.0095,0.7102,0.7318,0.7181,0.7135,0.7334,4.7298,0.116,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,20,10,5,,balanced,0.255,0.0124,57,0.7214,0.0095,0.7102,0.7318,0.7181,0.7135,0.7334,4.8254,0.0406,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,5,5,,balanced,0.2556,0.0086,59,0.721,0.0094,0.7117,0.7203,0.7138,0.7209,0.7385,3.6673,0.1175,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,20,10,5,,balanced,0.2636,0.0118,59,0.721,0.0094,0.7117,0.7203,0.7138,0.7209,0.7385,3.8703,0.1081,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,10,2,,,0.2197,0.0117,61,0.7207,0.0028,0.7166,0.7193,0.7219,0.7206,0.7252,2.0894,0.0238,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,5,2,,,0.2319,0.0097,62,0.7205,0.0028,0.7171,0.7186,0.7221,0.7197,0.725,2.1942,0.0203,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,10,5,,,0.2351,0.0093,63,0.7203,0.0033,0.7158,0.7183,0.7218,0.7199,0.7255,2.2527,0.036,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
