vectorizer,scaler,oversampler,undersampler,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,20,10,5,sqrt,0.4775,0.016,25,0.7642,0.0067,0.7681,0.7596,0.7745,0.7552,0.7634,12.0549,0.0586,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,10,5,sqrt,0.4412,0.046,27,0.764,0.0064,0.7592,0.7647,0.776,0.7605,0.7593,7.2047,0.0838,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,5,5,sqrt,0.3616,0.0162,27,0.764,0.0064,0.7592,0.7647,0.776,0.7605,0.7593,6.268,0.029,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,10,5,sqrt,0.388,0.009,29,0.7626,0.007,0.7593,0.7658,0.7729,0.7518,0.763,6.5099,0.2418,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,20,5,5,sqrt,0.3677,0.0282,29,0.7626,0.007,0.7593,0.7658,0.7729,0.7518,0.763,5.7542,0.0793,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,5,5,sqrt,0.3692,0.0148,31,0.7622,0.0044,0.7636,0.7578,0.7701,0.7603,0.7591,6.5171,0.0562,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,20,10,5,sqrt,0.4771,0.0534,31,0.7622,0.0044,0.7636,0.7578,0.7701,0.7603,0.7591,7.9412,0.1262,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,10,2,sqrt,0.4099,0.006,33,0.7618,0.0073,0.7691,0.7576,0.772,0.7546,0.7557,10.5219,0.1704,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,5,2,sqrt,0.4738,0.0073,34,0.7612,0.0058,0.767,0.7577,0.7694,0.7566,0.7552,11.9511,0.1351,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,15,10,2,sqrt,0.4,0.0105,35,0.7609,0.0057,0.768,0.7599,0.7659,0.7589,0.7518,6.3492,0.0692,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,10,2,sqrt,0.5286,0.0454,36,0.7605,0.004,0.7616,0.7585,0.7679,0.7569,0.7575,13.2536,0.1653,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,5,2,sqrt,0.4484,0.0315,37,0.7604,0.0043,0.762,0.761,0.7669,0.7583,0.754,10.5555,0.0634,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,5,2,sqrt,0.4091,0.0198,38,0.7603,0.006,0.7677,0.7545,0.7675,0.7548,0.7571,9.7987,0.1177,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,5,5,sqrt,0.4139,0.0095,39,0.7596,0.006,0.7661,0.7559,0.7677,0.7544,0.7541,9.6323,0.0729,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,10,5,sqrt,0.3789,0.0056,39,0.7596,0.006,0.7661,0.7559,0.7677,0.7544,0.7541,8.7894,0.0993,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,15,5,2,sqrt,0.315,0.024,41,0.7596,0.0042,0.7564,0.7601,0.7659,0.762,0.7538,4.775,0.032,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,5,2,sqrt,0.5154,0.0138,42,0.7594,0.0069,0.7642,0.7561,0.7707,0.7535,0.7527,12.913,0.1917,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,15,5,2,sqrt,0.4102,0.0078,43,0.7593,0.0056,0.7603,0.7611,0.7675,0.7573,0.7503,6.564,0.1252,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,10,2,sqrt,0.5398,0.0314,44,0.759,0.0059,0.7654,0.7533,0.7664,0.7526,0.7571,11.9686,0.0912,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,100,entropy,15,10,2,sqrt,0.4378,0.0299,45,0.7589,0.0062,0.7608,0.7571,0.7701,0.7526,0.7541,11.14,0.11,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,15,10,2,sqrt,0.3709,0.0353,46,0.7584,0.0032,0.7574,0.7577,0.7646,0.7559,0.7564,5.3793,0.0598,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,entropy,15,5,2,sqrt,0.4528,0.0575,47,0.7579,0.0067,0.7622,0.7578,0.7671,0.7552,0.7471,7.4433,0.0412,"{'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,15,10,2,sqrt,0.4514,0.0561,48,0.7575,0.0035,0.7572,0.76,0.7611,0.7584,0.751,6.2076,0.2523,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,10,5,sqrt,0.384,0.0506,49,0.7572,0.0049,0.7599,0.7517,0.7649,0.7524,0.7569,9.0081,0.1385,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,100,gini,15,5,5,sqrt,0.4037,0.0111,49,0.7572,0.0049,0.7599,0.7517,0.7649,0.7524,0.7569,10.5773,0.2242,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,50,gini,15,5,2,sqrt,0.3709,0.0109,51,0.7572,0.0054,0.757,0.7613,0.763,0.7569,0.7475,5.4325,0.1178,"{'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
