vectorizer,scaler,n_neighbors,metric,weights,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),RobustScaler(),3,euclidean,distance,100.4368,35.2937,11,0.7288,0.0167,0.7282,0.7235,0.7397,0.7014,0.7512,3.0791,0.3223,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),3,euclidean,uniform,189.8326,0.206,12,0.7287,0.017,0.7291,0.7227,0.7401,0.7005,0.7507,2.641,0.0558,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),5,euclidean,distance,48.9175,2.2376,13,0.7156,0.0378,0.6412,0.7234,0.7386,0.7322,0.7429,1.8937,0.1675,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),5,euclidean,uniform,70.6813,0.2991,14,0.7154,0.0373,0.6418,0.7239,0.7379,0.7315,0.742,1.7816,0.109,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),3,euclidean,distance,143.2971,19.9655,15,0.6962,0.0277,0.6695,0.7063,0.7172,0.6583,0.73,3.3215,0.5196,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),3,euclidean,uniform,166.0791,3.086,16,0.6957,0.0277,0.6699,0.7054,0.717,0.657,0.7293,2.1191,0.0445,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),7,euclidean,distance,48.2286,3.1698,17,0.6794,0.0089,0.6813,0.6636,0.6883,0.6771,0.6867,2.0426,0.3091,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),7,euclidean,uniform,95.203,7.8818,18,0.6793,0.0087,0.6832,0.664,0.6876,0.6758,0.686,4.1067,2.2572,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),9,euclidean,uniform,53.7691,1.5055,19,0.6786,0.0102,0.6825,0.6606,0.6896,0.675,0.6853,2.3338,0.3605,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),9,euclidean,distance,65.7015,1.4376,20,0.6786,0.0106,0.6812,0.6599,0.6905,0.6752,0.686,2.2786,0.85,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),5,euclidean,uniform,36.2831,0.7549,21,0.6785,0.0065,0.6843,0.6739,0.6867,0.6691,0.6787,2.0203,0.2356,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),5,euclidean,distance,49.1604,6.6314,22,0.6785,0.0062,0.6827,0.6739,0.6874,0.67,0.6784,1.7047,0.0639,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),3,euclidean,distance,151.191,1.2873,23,0.6714,0.0052,0.6773,0.6644,0.6774,0.6699,0.668,3.2557,0.0167,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),3,euclidean,uniform,153.3201,28.9421,24,0.6708,0.0057,0.6773,0.6635,0.6777,0.6678,0.668,2.4577,0.2339,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),5,euclidean,uniform,65.3783,4.0662,25,0.6471,0.0046,0.6505,0.6486,0.6513,0.6385,0.6464,2.0266,0.447,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),5,euclidean,distance,45.4231,6.2854,26,0.647,0.0041,0.649,0.6483,0.652,0.6398,0.6462,1.9527,0.1071,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),9,euclidean,uniform,51.6976,1.8296,27,0.6456,0.011,0.6518,0.6284,0.6463,0.6404,0.6611,2.2036,0.3836,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),9,euclidean,distance,42.7462,1.1519,28,0.6454,0.0113,0.6502,0.6274,0.647,0.6407,0.6618,2.3347,0.0638,"{'model__metric': 'euclidean', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),7,euclidean,uniform,74.6301,1.2958,29,0.6444,0.0108,0.6539,0.625,0.6518,0.6406,0.6509,1.6802,0.1778,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),7,euclidean,distance,61.9654,7.1887,30,0.6442,0.0107,0.6515,0.6245,0.6523,0.641,0.6517,3.3511,0.5033,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),3,euclidean,distance,171.3251,34.1103,31,0.6409,0.0057,0.6479,0.641,0.6447,0.64,0.6309,3.0261,0.678,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),3,euclidean,uniform,169.3657,0.8097,32,0.6403,0.006,0.6481,0.6403,0.6447,0.638,0.6307,2.076,0.0229,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),3,manhattan,distance,76.2633,0.3047,33,0.5809,0.0195,0.6027,0.5736,0.5994,0.5802,0.5488,1.9543,0.053,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),3,manhattan,uniform,83.5821,11.4895,34,0.5803,0.0196,0.6027,0.5722,0.5996,0.5778,0.5492,1.6068,0.2558,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),5,manhattan,distance,92.3733,10.379,35,0.5752,0.0171,0.5981,0.5684,0.5928,0.5549,0.5618,1.5854,0.1768,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),3,manhattan,distance,85.9339,0.5055,36,0.575,0.0192,0.5922,0.5698,0.5965,0.5739,0.5424,1.2459,0.4035,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),3,manhattan,uniform,104.2881,2.7542,37,0.5742,0.0194,0.5919,0.5684,0.5967,0.5713,0.5424,3.1377,0.751,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),5,manhattan,uniform,106.238,2.8349,38,0.574,0.0179,0.5995,0.5672,0.5902,0.552,0.5612,1.8592,0.3506,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),5,manhattan,distance,82.0049,2.5272,39,0.567,0.0192,0.5864,0.5653,0.5911,0.5449,0.547,2.151,0.2931,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),5,manhattan,uniform,89.8241,0.8501,40,0.5658,0.0197,0.5877,0.5643,0.5885,0.5421,0.5464,1.3763,0.1997,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),7,manhattan,distance,96.5384,1.0573,41,0.562,0.0175,0.5825,0.5413,0.5832,0.549,0.5542,1.3836,0.4478,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),7,manhattan,uniform,96.7112,0.3296,42,0.5608,0.018,0.5836,0.5403,0.581,0.5473,0.5517,2.5251,0.1134,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),7,manhattan,distance,86.1067,0.4622,43,0.5587,0.0163,0.5794,0.5356,0.5746,0.5549,0.5491,1.2476,0.1761,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),7,manhattan,uniform,105.3988,0.4714,44,0.5578,0.0165,0.5802,0.5356,0.573,0.5533,0.5468,2.3098,0.1513,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),9,manhattan,distance,83.0124,2.2728,45,0.5534,0.0197,0.5737,0.5244,0.5775,0.5462,0.5453,1.7734,0.3325,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),9,manhattan,uniform,86.9588,0.7055,46,0.5529,0.0201,0.5745,0.5245,0.5772,0.5446,0.5435,1.5963,0.1276,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),9,manhattan,distance,85.8388,0.3337,47,0.5518,0.0172,0.5671,0.5309,0.5768,0.5423,0.5421,1.9344,0.1742,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),9,manhattan,uniform,85.5824,1.212,48,0.551,0.0174,0.5685,0.5303,0.575,0.5407,0.5406,1.5838,0.2816,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),7,manhattan,distance,97.9906,0.2235,49,0.4872,0.0112,0.5088,0.4776,0.4823,0.4871,0.4802,1.224,0.0158,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),3,manhattan,distance,86.3081,5.3327,50,0.4864,0.0175,0.487,0.4805,0.5028,0.4566,0.5051,1.6022,0.3336,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),7,manhattan,uniform,87.5515,4.5122,51,0.4863,0.0121,0.5096,0.477,0.481,0.4862,0.4777,2.0498,0.2224,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),5,manhattan,distance,104.7996,1.8333,52,0.4862,0.0135,0.4602,0.4879,0.4898,0.4941,0.499,2.1029,0.2028,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),3,manhattan,uniform,82.4171,3.6718,53,0.4855,0.0189,0.487,0.4785,0.5032,0.4534,0.5055,1.194,0.1036,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),5,manhattan,uniform,108.126,0.2863,54,0.4846,0.0128,0.4602,0.4866,0.4872,0.492,0.4971,1.8877,0.0496,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),9,manhattan,distance,59.8263,12.8522,55,0.4778,0.0117,0.4974,0.4706,0.4663,0.4851,0.4697,1.4941,0.1742,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),9,manhattan,uniform,82.1026,0.9042,56,0.4762,0.0125,0.497,0.47,0.4648,0.484,0.465,1.7867,0.1422,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),3,manhattan,distance,80.277,2.3184,57,0.3081,0.0311,0.3497,0.2689,0.3147,0.3307,0.2762,2.2148,0.1625,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),3,manhattan,uniform,98.4539,0.3119,58,0.3071,0.0312,0.3496,0.267,0.315,0.3278,0.276,1.6873,0.1154,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),5,manhattan,distance,79.517,0.6769,59,0.292,0.0163,0.315,0.2734,0.3029,0.2948,0.2739,1.3696,0.0635,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),5,manhattan,uniform,94.5291,5.3148,60,0.2904,0.0165,0.315,0.2733,0.3008,0.2915,0.2715,1.458,0.2052,"{'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),7,manhattan,distance,89.836,4.1885,61,0.2779,0.0257,0.3242,0.2476,0.2747,0.2802,0.2629,1.2271,0.1525,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),7,manhattan,uniform,102.922,2.9182,62,0.2761,0.027,0.3254,0.2469,0.2723,0.2783,0.2578,1.9923,0.1237,"{'model__metric': 'manhattan', 'model__n_neighbors': 7, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),9,manhattan,distance,87.7961,0.4259,63,0.2602,0.0189,0.2897,0.2451,0.2481,0.2753,0.2426,1.468,0.2398,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'distance', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),9,manhattan,uniform,86.6193,0.4623,64,0.2583,0.0189,0.2879,0.2445,0.2481,0.2725,0.2382,1.3954,0.1289,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
