vectorizer,scaler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,300,6,0.1,1.0,1.0,1,0.7857,0.0894,11,0.8354,0.0032,0.8339,0.8328,0.8416,0.8341,0.8348,12.0598,0.23,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.1,1.0,0.8,1.5,0.7221,0.0292,12,0.8352,0.0054,0.8284,0.8302,0.8436,0.8372,0.8363,11.2297,0.42,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,1.0,0.8,1,0.8022,0.0435,13,0.8347,0.0051,0.8288,0.8329,0.8427,0.8309,0.8382,75.5432,0.6459,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,1.0,1.0,1.5,0.4357,0.0441,14,0.8337,0.0052,0.8285,0.8308,0.8397,0.8292,0.8404,81.1403,1.4393,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,1.0,1.0,1,0.8109,0.093,15,0.8333,0.004,0.8316,0.8332,0.8378,0.8268,0.8369,112.3579,0.8376,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.1,1.0,0.8,1.5,0.7609,0.0623,16,0.8333,0.0058,0.8263,0.8298,0.8405,0.8298,0.84,95.0755,0.4132,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,0.8,0.8,1.5,0.6472,0.1736,17,0.8252,0.0057,0.8162,0.8213,0.832,0.8275,0.8291,8.9083,0.0789,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,0.8,0.8,1.5,0.6935,0.1627,18,0.825,0.0065,0.819,0.8189,0.8311,0.8216,0.8343,90.9774,15.619,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,0.8,0.8,1,0.519,0.0611,19,0.8242,0.0055,0.8188,0.8197,0.8303,0.8208,0.8313,8.7042,0.0511,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,0.8,1.0,1.5,0.905,0.0969,20,0.8235,0.0065,0.8159,0.8208,0.8295,0.8184,0.8327,136.1555,2.2784,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,0.8,1.0,1,0.7815,0.0203,21,0.8234,0.0055,0.8181,0.8192,0.8286,0.8195,0.8314,14.1897,0.1164,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,1.0,0.8,1.5,1.0042,0.1537,22,0.8232,0.0079,0.8148,0.8161,0.8305,0.8199,0.8345,102.576,2.1186,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,0.8,1.0,1.5,0.7775,0.0413,23,0.8232,0.0056,0.8148,0.821,0.8298,0.8211,0.8291,15.0806,0.3654,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,0.8,0.8,1,6.9129,12.5731,24,0.823,0.0062,0.8216,0.8165,0.8309,0.8166,0.8296,93.805,16.2683,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,1.0,0.8,1,0.5383,0.0544,25,0.8228,0.0068,0.8194,0.8154,0.8287,0.8176,0.8328,8.7685,0.0362,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,1.0,0.8,1.5,0.4632,0.028,26,0.8226,0.0066,0.8152,0.8144,0.8271,0.8257,0.8305,8.4077,0.2609,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,0.8,1.0,1,0.7094,0.0255,27,0.8224,0.0059,0.8233,0.8162,0.8276,0.8153,0.8299,119.0799,0.9478,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,0.8,0.8,1.5,0.4365,0.0159,28,0.8223,0.0062,0.8136,0.8162,0.8284,0.8257,0.8278,4.9937,0.1475,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,1.0,1.0,1.5,1.0009,0.2333,29,0.8223,0.0061,0.8159,0.8147,0.8266,0.8234,0.8307,15.7967,1.9307,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,1.0,1.0,1.5,1.0236,0.0511,30,0.8215,0.0054,0.8167,0.8159,0.8257,0.8192,0.8298,146.5291,0.9502,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,6,0.05,1.0,1.0,1,0.742,0.0626,31,0.8213,0.0033,0.8181,0.8181,0.8244,0.8198,0.826,13.9584,0.331,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,0.8,1.0,1.5,0.5661,0.0316,32,0.8209,0.006,0.8108,0.8185,0.8264,0.8213,0.8273,6.8291,0.3816,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,0.8,0.8,1.5,0.5409,0.0654,33,0.8207,0.0079,0.8163,0.8096,0.8317,0.8186,0.8274,28.716,0.2359,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,1.0,0.8,1,0.5443,0.0286,34,0.8206,0.0073,0.8183,0.8161,0.8284,0.8106,0.8295,107.473,0.5629,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,0.8,0.8,1,0.6883,0.0607,35,0.8205,0.004,0.8194,0.8187,0.8257,0.8145,0.8243,7.7656,0.6043,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,0.8,0.8,1,0.443,0.0056,36,0.8199,0.0061,0.8188,0.8133,0.8294,0.814,0.8241,29.9568,0.9465,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,0.8,1.0,1,0.6871,0.0364,37,0.8198,0.004,0.817,0.8196,0.8246,0.814,0.8239,7.4272,0.2296,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,6,0.05,1.0,1.0,1,1.0138,0.0654,38,0.8197,0.0063,0.8207,0.814,0.8257,0.811,0.8272,121.9028,1.8122,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,0.8,1.0,1.5,0.642,0.0554,39,0.8195,0.0068,0.8117,0.8138,0.8263,0.8172,0.8286,44.3591,0.4897,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,1.0,0.8,1,0.5193,0.0135,40,0.8194,0.0055,0.8142,0.8161,0.8282,0.8152,0.8235,5.7603,0.1129,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,1.0,0.8,1.5,0.4301,0.0224,41,0.8194,0.0053,0.8129,0.8165,0.8273,0.8166,0.8236,4.7238,0.0944,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,1.0,0.8,1.5,0.4767,0.007,42,0.8192,0.0077,0.8123,0.8123,0.8255,0.8146,0.8311,29.6978,0.2551,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,0.8,1.0,1,0.5813,0.0139,43,0.8189,0.0063,0.8202,0.8147,0.8242,0.8089,0.8262,46.976,0.2158,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,1.0,1.0,1.5,0.5617,0.019,44,0.8183,0.0052,0.8085,0.8182,0.8221,0.8198,0.8229,6.2669,0.0487,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.1,1.0,1.0,1,0.6626,0.031,45,0.8179,0.005,0.8138,0.8156,0.8252,0.8122,0.8224,7.7061,0.134,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,1.0,1.0,1.5,0.6531,0.0445,46,0.8175,0.0064,0.8107,0.8124,0.821,0.8152,0.8283,46.1238,0.1524,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,1.0,0.8,1,0.492,0.0766,47,0.8166,0.0064,0.8143,0.8136,0.8241,0.8074,0.8236,28.8777,0.2681,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.1,1.0,1.0,1,0.5813,0.0145,48,0.8154,0.006,0.8143,0.8138,0.8198,0.8057,0.8233,44.3051,0.2075,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,0.8,0.8,1.5,0.4152,0.0517,49,0.8144,0.009,0.8042,0.8067,0.827,0.8112,0.8227,4.8951,0.0664,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,0.8,1.0,1.5,0.4898,0.0069,50,0.8139,0.0078,0.8046,0.8057,0.8222,0.814,0.8229,7.0032,0.0375,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,0.8,0.8,1.5,0.5737,0.0884,51,0.8138,0.0097,0.8007,0.8074,0.8238,0.8109,0.8262,39.1732,0.9534,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,1.0,0.8,1.5,0.4388,0.04,52,0.8135,0.0079,0.8079,0.8053,0.8213,0.8083,0.8247,40.9603,0.3879,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,0.8,1.0,1,0.4902,0.0072,53,0.8132,0.0062,0.8114,0.8092,0.8188,0.8049,0.8217,6.8348,0.1285,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,0.8,0.8,1,0.3817,0.0249,54,0.8125,0.007,0.8077,0.8095,0.8196,0.8038,0.8218,4.589,0.1718,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,0.8,1.0,1.5,0.6231,0.1057,55,0.812,0.0083,0.8036,0.8064,0.8179,0.8069,0.8254,55.5931,0.5579,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,1.0,0.8,1.5,0.4391,0.0128,56,0.8119,0.0071,0.8014,0.8066,0.8184,0.8126,0.8204,5.5607,0.2361,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,1.0,1.0,1.5,0.535,0.0708,57,0.8112,0.0083,0.8006,0.8073,0.8164,0.8075,0.8243,55.8574,0.288,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,0.8,1.0,1,0.5299,0.0095,58,0.8112,0.0062,0.809,0.8072,0.8144,0.804,0.8217,50.9224,0.36,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
