vectorizer,scaler,oversampler,undersampler,estimator,n_estimators,estimator,n_estimators,learning_rate,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,5,,2.544,0.1416,11,0.7966,0.0059,0.7928,0.795,0.8014,0.7887,0.8049,97.2887,0.35,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,5,,2.1623,0.1111,11,0.7966,0.0059,0.7928,0.795,0.8014,0.7887,0.8049,75.1844,0.6643,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,2,,2.0469,0.0774,13,0.7961,0.0074,0.7953,0.794,0.8046,0.7838,0.8026,245.5625,8.0427,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,10,5,,2.1717,0.1567,14,0.7958,0.0065,0.7935,0.7966,0.8018,0.7847,0.8025,208.2158,1.0749,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,5,,2.2241,0.154,14,0.7958,0.0065,0.7935,0.7966,0.8018,0.7847,0.8025,229.4124,7.038,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,gini,5,5,2,,2.9506,0.6867,16,0.7953,0.0067,0.7962,0.7945,0.8016,0.7832,0.8013,247.4295,5.7442,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'gini', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,2,,5.5373,0.2007,17,0.7915,0.0038,0.7914,0.7912,0.7897,0.7869,0.7983,209.8809,2.2809,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,2,,5.3724,0.2,18,0.7915,0.0049,0.7913,0.7896,0.7917,0.7848,0.7999,204.2848,2.119,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,2,,2.0741,0.1531,19,0.7904,0.0061,0.7889,0.7949,0.7907,0.78,0.7978,75.1559,0.5347,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,5,,5.3135,0.1988,20,0.7901,0.0052,0.79,0.7922,0.7909,0.7808,0.7967,195.5483,1.1935,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,5,,5.3379,0.0536,20,0.7901,0.0052,0.79,0.7922,0.7909,0.7808,0.7967,199.8438,0.8674,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,2,,5.337,0.1464,22,0.7901,0.0054,0.788,0.7916,0.792,0.7813,0.7976,716.0858,4.6392,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,2,,2.026,0.1112,23,0.7895,0.0044,0.7865,0.7906,0.7896,0.784,0.797,70.0031,0.3241,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,2,,5.4703,0.2491,24,0.7889,0.0051,0.7885,0.7902,0.7883,0.7809,0.7968,713.9887,1.6955,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,5,,5.264,0.2719,25,0.7877,0.0038,0.7897,0.7885,0.787,0.7809,0.7924,680.5279,3.2104,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),30,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,5,,2.2431,0.3608,25,0.7877,0.0038,0.7897,0.7885,0.787,0.7809,0.7924,444.8894,44.8474,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 30, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,5,,1.9637,0.0952,27,0.7874,0.0055,0.785,0.7881,0.7914,0.7781,0.7942,67.3073,0.3959,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
CountVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,5,,1.9382,0.0794,27,0.7874,0.0055,0.785,0.7881,0.7914,0.7781,0.7942,67.8547,0.4619,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,10,2,,1.9718,0.1803,29,0.7869,0.0058,0.7894,0.7864,0.7871,0.7769,0.7949,233.3661,1.0733,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 10, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,2,,1.9723,0.0843,30,0.7857,0.0057,0.787,0.7854,0.7879,0.7755,0.7928,247.6518,2.4566,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 2, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
TfidfVectorizer(min_df=7),passthrough,passthrough,passthrough,AdaBoostClassifier(random_state=42),10,DecisionTreeClassifier(random_state=42),50,1.0,entropy,5,5,5,,2.0235,0.092,31,0.7848,0.0059,0.7852,0.7829,0.787,0.7753,0.7936,222.8921,0.8634,"{'model__estimator': AdaBoostClassifier(random_state=42), 'model__estimator__estimator': DecisionTreeClassifier(random_state=42), 'model__estimator__estimator__criterion': 'entropy', 'model__estimator__estimator__max_depth': 5, 'model__estimator__estimator__max_features': None, 'model__estimator__estimator__min_samples_leaf': 5, 'model__estimator__estimator__min_samples_split': 5, 'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 50, 'model__n_estimators': 10, 'oversampler': 'passthrough', 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7), 'undersampler': 'passthrough'}"
