vectorizer,scaler,C,kernel,gamma,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),StandardScaler(),0.1,linear,scale,,22.2159,0.1022,19,0.8402,0.0058,0.8358,0.8354,0.8514,0.8386,0.8397,784.006,9.4564,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),0.1,linear,scale,,19.4179,1.0746,20,0.8401,0.0058,0.8358,0.8354,0.8514,0.8386,0.8396,757.9448,6.5555,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),10.0,rbf,scale,,21.2129,2.9277,21,0.84,0.0069,0.828,0.8432,0.8493,0.8394,0.8398,2239.1157,60.3132,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),10.0,rbf,scale,balanced,19.5826,2.2787,22,0.8394,0.0074,0.827,0.8436,0.849,0.8368,0.8406,2054.8619,66.1169,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),1.0,rbf,scale,balanced,17.9191,0.876,23,0.8376,0.0083,0.8304,0.8379,0.8519,0.8285,0.8394,949.6407,11.7516,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),1.0,linear,scale,balanced,11.98,0.5281,24,0.8354,0.0072,0.8332,0.8357,0.8489,0.8281,0.8312,631.1547,18.4031,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),1.0,linear,scale,balanced,10.5041,0.2421,25,0.8353,0.0071,0.8332,0.8357,0.8486,0.8281,0.8312,579.9897,19.9571,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),1.0,rbf,scale,balanced,18.7097,0.5346,26,0.8319,0.0085,0.8218,0.8323,0.845,0.8237,0.8367,837.0355,19.459,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),1.0,linear,scale,,9.4828,0.7245,27,0.8303,0.0037,0.8302,0.8263,0.8372,0.8281,0.8296,1310.1222,34.8859,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),1.0,linear,scale,,10.2757,0.2665,28,0.8302,0.0037,0.8298,0.8262,0.837,0.8281,0.83,1205.9638,29.9572,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),1.0,linear,scale,balanced,8.973,0.5648,29,0.8275,0.0058,0.8258,0.8216,0.8385,0.8244,0.8271,1167.384,47.2762,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),1.0,linear,scale,balanced,8.2112,0.2861,30,0.8274,0.0059,0.8255,0.8218,0.8387,0.8238,0.8271,1057.4835,44.7328,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),10.0,linear,scale,,9.6223,0.1601,31,0.826,0.0052,0.8202,0.8267,0.8354,0.8233,0.8243,1482.5036,43.2019,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),10.0,linear,scale,,11.099,0.8502,32,0.8259,0.0052,0.8202,0.8267,0.8354,0.823,0.8241,1670.1066,40.2991,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),10.0,linear,scale,balanced,10.0836,1.45,33,0.824,0.0067,0.823,0.8237,0.8354,0.8143,0.8234,1822.6385,138.2592,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),10.0,linear,scale,balanced,13.5037,1.4935,34,0.8239,0.0067,0.8227,0.8237,0.8354,0.8143,0.8234,2229.0684,64.7086,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),0.1,linear,scale,balanced,21.8202,1.966,35,0.8233,0.0081,0.8156,0.824,0.8359,0.8136,0.8275,855.7069,21.2309,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),0.1,linear,scale,balanced,18.042,0.7099,36,0.8232,0.008,0.8156,0.8237,0.8356,0.8137,0.8273,845.0356,9.0824,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),10.0,linear,scale,,9.0708,0.8341,37,0.8091,0.0055,0.8106,0.8087,0.8182,0.8071,0.8011,2789.8891,116.4695,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),10.0,linear,scale,,9.0175,0.5818,38,0.8089,0.0054,0.8102,0.8081,0.8179,0.8073,0.8011,2920.8731,175.2091,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),10.0,linear,scale,balanced,7.9449,0.8238,39,0.8054,0.007,0.8063,0.8051,0.8181,0.7982,0.7995,3502.1546,293.6802,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),10.0,linear,scale,balanced,13.5715,2.9289,40,0.8054,0.007,0.8065,0.8046,0.8181,0.7984,0.7995,4002.86,158.8772,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'linear', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),0.1,rbf,scale,,25.98,2.2008,41,0.8022,0.0062,0.8014,0.7948,0.8067,0.7968,0.8114,2396.7435,700.6722,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),0.1,rbf,scale,,30.6954,1.9651,42,0.8016,0.0065,0.8006,0.7939,0.8075,0.7956,0.8105,973.1546,29.5884,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),RobustScaler(),0.1,rbf,scale,balanced,33.8089,7.3114,43,0.7957,0.0044,0.7947,0.796,0.7998,0.7881,0.8,1247.1019,20.0411,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),StandardScaler(),0.1,rbf,scale,balanced,31.6106,1.5562,44,0.795,0.0036,0.7932,0.7953,0.7984,0.7892,0.799,1133.3336,26.5807,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),0.1,rbf,scale,,28.7474,2.7589,45,0.7892,0.0081,0.7866,0.782,0.8011,0.7804,0.7961,965.1386,8.8659,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),StandardScaler(),0.1,rbf,scale,balanced,33.5251,6.9104,46,0.782,0.0052,0.78,0.7785,0.7863,0.7755,0.7897,1237.6738,46.4357,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': StandardScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),0.1,rbf,scale,,27.3966,2.9593,47,0.7784,0.0081,0.7756,0.7706,0.7901,0.7701,0.7859,2678.0239,25.8176,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),RobustScaler(),0.1,rbf,scale,balanced,26.7043,0.6498,48,0.7679,0.0061,0.7649,0.7641,0.7717,0.761,0.7779,1240.1316,31.9657,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf', 'preprocessing__scaler': RobustScaler(), 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
